Public Law Title,FY,Amount,Deflator.Type,Source
Military Personnel,1948,4301e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1948,175e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1948,3858e6,Current,Table 6.8 DOD BA By Title
Procurement,1948,3695e6,Current,Table 6.8 DOD BA By Title
RDT&E,1948,461e6,Current,Table 6.8 DOD BA By Title
Military Construction,1948,253e6,Current,Table 6.8 DOD BA By Title
Family Housing,1948,0,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1948,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1948,-943e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1949,4507e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1949,193e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1949,4191e6,Current,Table 6.8 DOD BA By Title
Procurement,1949,1745e6,Current,Table 6.8 DOD BA By Title
RDT&E,1949,242e6,Current,Table 6.8 DOD BA By Title
Military Construction,1949,127e6,Current,Table 6.8 DOD BA By Title
Family Housing,1949,0,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1949,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1949,-572e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1950,4891e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1950,18e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1950,4332e6,Current,Table 6.8 DOD BA By Title
Procurement,1950,3728e6,Current,Table 6.8 DOD BA By Title
RDT&E,1950,61e7,Current,Table 6.8 DOD BA By Title
Military Construction,1950,388e6,Current,Table 6.8 DOD BA By Title
Family Housing,1950,0,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1950,168e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1950,-212e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1951,8709e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1951,342e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1951,12116e6,Current,Table 6.8 DOD BA By Title
Procurement,1951,22257e6,Current,Table 6.8 DOD BA By Title
RDT&E,1951,1254e6,Current,Table 6.8 DOD BA By Title
Military Construction,1951,2471e6,Current,Table 6.8 DOD BA By Title
Family Housing,1951,0,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1951,574e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1951,-189e6,Current,Table 6.8 DOD BA By Title
