source.table,fy,current.constant,usa.or.foreign,direct.indirect.hire,pay.type,amount
tbl_6-14,1970,current,us,direct.hire,general.schedule,7322460000
tbl_6-14,1970,current,us,direct.hire,wage.board,4218766000
tbl_6-14,1970,current,foreign,direct.hire,foreign.nationals.direct.hire,293738000
tbl_6-14,1970,current,foreign,indirect.hire,foreign.national.indirect.hire,368588000
tbl_6-14,1971,current,us,direct.hire,general.schedule,7563332000
tbl_6-14,1971,current,us,direct.hire,wage.board,4236158000
tbl_6-14,1971,current,foreign,direct.hire,foreign.nationals.direct.hire,297534000
tbl_6-14,1971,current,foreign,indirect.hire,foreign.national.indirect.hire,406956000
tbl_6-14,1972,current,us,direct.hire,general.schedule,8125799000
tbl_6-14,1972,current,us,direct.hire,wage.board,4341701000
tbl_6-14,1972,current,foreign,direct.hire,foreign.nationals.direct.hire,251856000
tbl_6-14,1972,current,foreign,indirect.hire,foreign.national.indirect.hire,502373000
tbl_6-14,1973,current,us,direct.hire,general.schedule,8243279000
tbl_6-14,1973,current,us,direct.hire,wage.board,4508037000
tbl_6-14,1973,current,foreign,direct.hire,foreign.nationals.direct.hire,179776000
tbl_6-14,1973,current,foreign,indirect.hire,foreign.national.indirect.hire,642648000
tbl_6-14,1974,current,us,direct.hire,general.schedule,8564289000
tbl_6-14,1974,current,us,direct.hire,wage.board,4635296000
tbl_6-14,1974,current,foreign,direct.hire,foreign.nationals.direct.hire,167923000
tbl_6-14,1974,current,foreign,indirect.hire,foreign.national.indirect.hire,769487000
tbl_6-14,1975,current,us,direct.hire,general.schedule,9157047000
tbl_6-14,1975,current,us,direct.hire,wage.board,5161056000
tbl_6-14,1975,current,foreign,direct.hire,foreign.nationals.direct.hire,181024000
tbl_6-14,1975,current,foreign,indirect.hire,foreign.national.indirect.hire,834404000
tbl_6-14,1976,current,us,direct.hire,general.schedule,9713310000
tbl_6-14,1976,current,us,direct.hire,wage.board,5612971000
tbl_6-14,1976,current,foreign,direct.hire,foreign.nationals.direct.hire,200741000
tbl_6-14,1976,current,foreign,indirect.hire,foreign.national.indirect.hire,890691000
tbl_6-14,1977,current,us,direct.hire,general.schedule,10364135000
tbl_6-14,1977,current,us,direct.hire,wage.board,5995442000
tbl_6-14,1977,current,foreign,direct.hire,foreign.nationals.direct.hire,232510000
tbl_6-14,1977,current,foreign,indirect.hire,foreign.national.indirect.hire,957228000
tbl_6-14,1978,current,us,direct.hire,general.schedule,11063068000
tbl_6-14,1978,current,us,direct.hire,wage.board,6283002000
tbl_6-14,1978,current,foreign,direct.hire,foreign.nationals.direct.hire,255877000
tbl_6-14,1978,current,foreign,indirect.hire,foreign.national.indirect.hire,1251639000
tbl_6-14,1979,current,us,direct.hire,general.schedule,12255408000
tbl_6-14,1979,current,us,direct.hire,wage.board,6640054000
tbl_6-14,1979,current,foreign,direct.hire,foreign.nationals.direct.hire,282817000
tbl_6-14,1979,current,foreign,indirect.hire,foreign.national.indirect.hire,1315714000
tbl_6-14,1980,current,us,direct.hire,general.schedule,13300575000
tbl_6-14,1980,current,us,direct.hire,wage.board,7222536000
tbl_6-14,1980,current,foreign,direct.hire,foreign.nationals.direct.hire,307627000
tbl_6-14,1980,current,foreign,indirect.hire,foreign.national.indirect.hire,1431132000
tbl_6-14,1981,current,us,direct.hire,general.schedule,14165371000
tbl_6-14,1981,current,us,direct.hire,wage.board,7745903000
tbl_6-14,1981,current,foreign,direct.hire,foreign.nationals.direct.hire,330379000
tbl_6-14,1981,current,foreign,indirect.hire,foreign.national.indirect.hire,1533365000
tbl_6-14,1982,current,us,direct.hire,general.schedule,15800350000
tbl_6-14,1982,current,us,direct.hire,wage.board,8422631000
tbl_6-14,1982,current,foreign,direct.hire,foreign.nationals.direct.hire,360029000
tbl_6-14,1982,current,foreign,indirect.hire,foreign.national.indirect.hire,1482442000
tbl_6-14,1983,current,us,direct.hire,general.schedule,17598704000
tbl_6-14,1983,current,us,direct.hire,wage.board,8638545000
tbl_6-14,1983,current,foreign,direct.hire,foreign.nationals.direct.hire,340864000
tbl_6-14,1983,current,foreign,indirect.hire,foreign.national.indirect.hire,1183643000
tbl_6-14,1984,current,us,direct.hire,general.schedule,18597308000
tbl_6-14,1984,current,us,direct.hire,wage.board,9165655000
tbl_6-14,1984,current,foreign,direct.hire,foreign.nationals.direct.hire,356986000
tbl_6-14,1984,current,foreign,indirect.hire,foreign.national.indirect.hire,1331913000
tbl_6-14,1985,current,us,direct.hire,general.schedule,20357719000
tbl_6-14,1985,current,us,direct.hire,wage.board,9458264000
tbl_6-14,1985,current,foreign,direct.hire,foreign.nationals.direct.hire,365663000
tbl_6-14,1985,current,foreign,indirect.hire,foreign.national.indirect.hire,1222151000
tbl_6-14,1986,current,us,direct.hire,general.schedule,21255995000
tbl_6-14,1986,current,us,direct.hire,wage.board,9394063000
tbl_6-14,1986,current,foreign,direct.hire,foreign.nationals.direct.hire,395480000
tbl_6-14,1986,current,foreign,indirect.hire,foreign.national.indirect.hire,1115798000
tbl_6-14,1987,current,us,direct.hire,general.schedule,22529058000
tbl_6-14,1987,current,us,direct.hire,wage.board,9433538000
tbl_6-14,1987,current,foreign,direct.hire,foreign.nationals.direct.hire,454213000
tbl_6-14,1987,current,foreign,indirect.hire,foreign.national.indirect.hire,1677939000
tbl_6-14,1988,current,us,direct.hire,general.schedule,23895795000
tbl_6-14,1988,current,us,direct.hire,wage.board,9555068000
tbl_6-14,1988,current,foreign,direct.hire,foreign.nationals.direct.hire,488464000
tbl_6-14,1988,current,foreign,indirect.hire,foreign.national.indirect.hire,1911939000
tbl_6-14,1989,current,us,direct.hire,general.schedule,25481775000
tbl_6-14,1989,current,us,direct.hire,wage.board,9675274000
tbl_6-14,1989,current,foreign,direct.hire,foreign.nationals.direct.hire,550618000
tbl_6-14,1989,current,foreign,indirect.hire,foreign.national.indirect.hire,1904390000
tbl_6-14,1990,current,us,direct.hire,general.schedule,27327015000
tbl_6-14,1990,current,us,direct.hire,wage.board,9910821000
tbl_6-14,1990,current,foreign,direct.hire,foreign.nationals.direct.hire,634059000
tbl_6-14,1990,current,foreign,indirect.hire,foreign.national.indirect.hire,1934594000
tbl_6-14,1991,current,us,direct.hire,general.schedule,28679764000
tbl_6-14,1991,current,us,direct.hire,wage.board,9974471000
tbl_6-14,1991,current,foreign,direct.hire,foreign.nationals.direct.hire,619588000
tbl_6-14,1991,current,foreign,indirect.hire,foreign.national.indirect.hire,1865466000
tbl_6-14,1992,current,us,direct.hire,general.schedule,29668620000
tbl_6-14,1992,current,us,direct.hire,wage.board,9579728000
tbl_6-14,1992,current,foreign,direct.hire,foreign.nationals.direct.hire,631872000
tbl_6-14,1992,current,foreign,indirect.hire,foreign.national.indirect.hire,1899189000
tbl_6-14,1993,current,us,direct.hire,general.schedule,31334339000
tbl_6-14,1993,current,us,direct.hire,wage.board,10321348000
tbl_6-14,1993,current,foreign,direct.hire,foreign.nationals.direct.hire,644234000
tbl_6-14,1993,current,foreign,indirect.hire,foreign.national.indirect.hire,1868189000
tbl_6-14,1994,current,us,direct.hire,general.schedule,32112819000
tbl_6-14,1994,current,us,direct.hire,wage.board,9438220000
tbl_6-14,1994,current,foreign,direct.hire,foreign.nationals.direct.hire,523075000
tbl_6-14,1994,current,foreign,indirect.hire,foreign.national.indirect.hire,1505849000
tbl_6-14,1995,current,us,direct.hire,general.schedule,32171834000
tbl_6-14,1995,current,us,direct.hire,wage.board,9368241000
tbl_6-14,1995,current,foreign,direct.hire,foreign.nationals.direct.hire,501181000
tbl_6-14,1995,current,foreign,indirect.hire,foreign.national.indirect.hire,1517319000
tbl_6-14,1996,current,us,direct.hire,general.schedule,32450228000
tbl_6-14,1996,current,us,direct.hire,wage.board,8639200000
tbl_6-14,1996,current,foreign,direct.hire,foreign.nationals.direct.hire,627627000
tbl_6-14,1996,current,foreign,indirect.hire,foreign.national.indirect.hire,1314076000
tbl_6-14,1997,current,us,direct.hire,general.schedule,32605841000
tbl_6-14,1997,current,us,direct.hire,wage.board,8211314000
tbl_6-14,1997,current,foreign,direct.hire,foreign.nationals.direct.hire,536098000
tbl_6-14,1997,current,foreign,indirect.hire,foreign.national.indirect.hire,1386928000
tbl_6-14,1998,current,us,direct.hire,general.schedule,31445032000
tbl_6-14,1998,current,us,direct.hire,wage.board,8085280000
tbl_6-14,1998,current,foreign,direct.hire,foreign.nationals.direct.hire,492516000
tbl_6-14,1998,current,foreign,indirect.hire,foreign.national.indirect.hire,1232017000
tbl_6-14,1999,current,us,direct.hire,general.schedule,31894925000
tbl_6-14,1999,current,us,direct.hire,wage.board,7975582000
tbl_6-14,1999,current,foreign,direct.hire,foreign.nationals.direct.hire,444574000
tbl_6-14,1999,current,foreign,indirect.hire,foreign.national.indirect.hire,911108000
tbl_6-14,2000,current,us,direct.hire,general.schedule,32565504000
tbl_6-14,2000,current,us,direct.hire,wage.board,7882645000
tbl_6-14,2000,current,foreign,direct.hire,foreign.nationals.direct.hire,437151000
tbl_6-14,2000,current,foreign,indirect.hire,foreign.national.indirect.hire,1046633000
tbl_6-14,2001,current,us,direct.hire,general.schedule,33942235000
tbl_6-14,2001,current,us,direct.hire,wage.board,7875336000
tbl_6-14,2001,current,foreign,direct.hire,foreign.nationals.direct.hire,442409000
tbl_6-14,2001,current,foreign,indirect.hire,foreign.national.indirect.hire,981061000
tbl_6-14,2002,current,us,direct.hire,general.schedule,36463010000
tbl_6-14,2002,current,us,direct.hire,wage.board,8118404000
tbl_6-14,2002,current,foreign,direct.hire,foreign.nationals.direct.hire,463570000
tbl_6-14,2002,current,foreign,indirect.hire,foreign.national.indirect.hire,818599000
tbl_6-14,2003,current,us,direct.hire,general.schedule,38058363000
tbl_6-14,2003,current,us,direct.hire,wage.board,8109277000
tbl_6-14,2003,current,foreign,direct.hire,foreign.nationals.direct.hire,342300000
tbl_6-14,2003,current,foreign,indirect.hire,foreign.national.indirect.hire,836188000
tbl_6-14,2004,current,us,direct.hire,general.schedule,40212280000
tbl_6-14,2004,current,us,direct.hire,wage.board,8755251000
tbl_6-14,2004,current,foreign,direct.hire,foreign.nationals.direct.hire,376256000
tbl_6-14,2004,current,foreign,indirect.hire,foreign.national.indirect.hire,961374000
tbl_6-14,2005,current,us,direct.hire,general.schedule,43016309000
tbl_6-14,2005,current,us,direct.hire,wage.board,9066115000
tbl_6-14,2005,current,foreign,direct.hire,foreign.nationals.direct.hire,365954000
tbl_6-14,2005,current,foreign,indirect.hire,foreign.national.indirect.hire,1086876000
tbl_6-14,2006,current,us,direct.hire,general.schedule,46707259000
tbl_6-14,2006,current,us,direct.hire,wage.board,8899655000
tbl_6-14,2006,current,foreign,direct.hire,foreign.nationals.direct.hire,466788000
tbl_6-14,2006,current,foreign,indirect.hire,foreign.national.indirect.hire,1148262000
tbl_6-14,2007,current,us,direct.hire,general.schedule,47047988000
tbl_6-14,2007,current,us,direct.hire,wage.board,9483080000
tbl_6-14,2007,current,foreign,direct.hire,foreign.nationals.direct.hire,413695000
tbl_6-14,2007,current,foreign,indirect.hire,foreign.national.indirect.hire,1202955000
tbl_6-14,2008,current,us,direct.hire,general.schedule,49397869000
tbl_6-14,2008,current,us,direct.hire,wage.board,10233296000
tbl_6-14,2008,current,foreign,direct.hire,foreign.nationals.direct.hire,467561000
tbl_6-14,2008,current,foreign,indirect.hire,foreign.national.indirect.hire,1197292000
tbl_6-14,2009,current,us,direct.hire,general.schedule,54579685000
tbl_6-14,2009,current,us,direct.hire,wage.board,10120109000
tbl_6-14,2009,current,foreign,direct.hire,foreign.nationals.direct.hire,500569000
tbl_6-14,2009,current,foreign,indirect.hire,foreign.national.indirect.hire,1223504000
tbl_6-14,2010,current,us,direct.hire,general.schedule,55460110000
tbl_6-14,2010,current,us,direct.hire,wage.board,10533188000
tbl_6-14,2010,current,foreign,direct.hire,foreign.nationals.direct.hire,493942000
tbl_6-14,2010,current,foreign,indirect.hire,foreign.national.indirect.hire,1265902000
tbl_6-14,2011,current,us,direct.hire,general.schedule,62336304000
tbl_6-14,2011,current,us,direct.hire,wage.board,11477811000
tbl_6-14,2011,current,foreign,direct.hire,foreign.nationals.direct.hire,1026678000
tbl_6-14,2011,current,foreign,indirect.hire,foreign.national.indirect.hire,1608260000
tbl_6-14,2012,current,us,direct.hire,general.schedule,65126332000
tbl_6-14,2012,current,us,direct.hire,wage.board,10451027000
tbl_6-14,2012,current,foreign,direct.hire,foreign.nationals.direct.hire,465339000
tbl_6-14,2012,current,foreign,indirect.hire,foreign.national.indirect.hire,1205951000
tbl_6-14,2013,current,us,direct.hire,general.schedule,64632577000
tbl_6-14,2013,current,us,direct.hire,wage.board,9653994000
tbl_6-14,2013,current,foreign,direct.hire,foreign.nationals.direct.hire,476993000
tbl_6-14,2013,current,foreign,indirect.hire,foreign.national.indirect.hire,1248463000
tbl_6-14,2014,current,us,direct.hire,general.schedule,64657766000
tbl_6-14,2014,current,us,direct.hire,wage.board,9700765000
tbl_6-14,2014,current,foreign,direct.hire,foreign.nationals.direct.hire,513483000
tbl_6-14,2014,current,foreign,indirect.hire,foreign.national.indirect.hire,1129410000
tbl_6-14,2015,current,us,direct.hire,general.schedule,66735079000
