Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Army,2001,Base,Military.Personnel,2.8837e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Personnel,2.22e+08,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,O.M,2.5507e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,O.M,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,O.M,8.65e+08,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,Procurement,1.1849e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Procurement,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Procurement,7e+06,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,RDT.E,6.216e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,RDT.E,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,RDT.E,5e+06,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,Military.Construction,1.591e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Construction,4.1e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,Family....Housing,1.179e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Family....Housing,2.6e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2001,Base,Revolving.Funds...Other,1.2e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,Military.Personnel,3.2237e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,Military.Personnel,3.5534e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Personnel,8.574e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,Military.Personnel,3.5814e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Military.Personnel,1.3775e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,Military.Personnel,3.6808e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Military.Personnel,1.394e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,Military.Personnel,4.2397e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Military.Personnel,1.1926e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Military.Personnel,2.3e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,Military.Personnel,4.2403e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Military.Personnel,1.4276e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,O.M,3.0966e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,O.M,1.07e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,O.M,3.2988e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,O.M,1.7418e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,O.M,3.2849e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,O.M,3.863e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,O.M,4.7e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,O.M,3.4652e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,O.M,2.4319e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,O.M,1.5e+07,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,O.M,3.0665e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,O.M,4.4518e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,O.M,2.73e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,O.M,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,O.M,2.8985e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,O.M,6.44e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,O.M,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,Procurement,1.1567e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Procurement,5.7e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,Procurement,1.4578e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Procurement,7.5e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,Procurement,1.377e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Procurement,2.16e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Procurement,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,Procurement,1.5337e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Procurement,1.0101e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Procurement,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,Procurement,1.4526e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Procurement,1.356e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Procurement,4.9e+07,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Procurement,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,Procurement,2.0185e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Procurement,2.8422e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Procurement,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,RDT.E,7.037e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,RDT.E,-7e+06,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,RDT.E,7.559e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,RDT.E,1.2e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,RDT.E,1.0217e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,RDT.E,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,RDT.E,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,RDT.E,1.0417e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,RDT.E,3.9e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,RDT.E,1.1625e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,RDT.E,6.8e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,RDT.E,1.1203e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,RDT.E,1e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,RDT.E,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,Military.Construction,2.458e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Construction,5.6e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,Military.Construction,2.136e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,Military.Construction,1.731e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Military.Construction,1.62e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Military.Construction,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,Military.Construction,2.698e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Military.Construction,8.47e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Military.Construction,9e+06,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,Military.Construction,3.404e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Military.Construction,1.87e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Military.Construction,5.84e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Military.Construction,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,Military.Construction,6.465e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Military.Construction,1.256e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Military.Construction,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,Family....Housing,1.378e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,Family....Housing,1.362e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,Family....Housing,1.33e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Family....Housing,1.1e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Family....Housing,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,Family....Housing,1.528e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Family....Housing,1e+06,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,Family....Housing,1.24e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,Family....Housing,1.25e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Family....Housing,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2002,Base,Revolving.Funds...Other,1.67e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2003,Base,Revolving.Funds...Other,2.49e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Base,Revolving.Funds...Other,2.19e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2005,Base,Revolving.Funds...Other,0,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Base,Revolving.Funds...Other,4.6e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2007,Base,Revolving.Funds...Other,6.28e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2008,Base,Military.Personnel,4.674e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Military.Personnel,1.4673e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,Military.Personnel,5.228e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Military.Personnel,9.89e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Military.Personnel,1.3945e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,Military.Personnel,5.7917e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Military.Personnel,1.2546e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,Military.Personnel,5.8366e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Military.Personnel,1.1672e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,Military.Personnel,6.0811e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Military.Personnel,7.827e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,Military.Personnel,5.6029e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Military.Personnel,8.925e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,O.M,3.7028e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,O.M,5.9381e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,O.M,4.0092e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,O.M,1.839e+09,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,O.M,3.9689e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,O.M,1.8655e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,O.M,4.0562e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,O.M,7.0799e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,O.M,2.18e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,O.M,4.2121e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,O.M,7.2085e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,O.M,4.2171e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,O.M,5.4436e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,O.M,4.47e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,O.M,3.4464e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,O.M,9e+06,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,Procurement,3.6557e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Procurement,3.0628e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,Procurement,2.7385e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,Procurement,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Procurement,3.933e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Procurement,1.1967e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,Procurement,1.9818e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Procurement,2.0245e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Procurement,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,Procurement,1.9638e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Procurement,1.676e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,Procurement,1.9609e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Procurement,5.265e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,Procurement,1.5692e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Procurement,3.154e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Procurement,1e+06,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,RDT.E,1.2297e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,RDT.E,1.5e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,RDT.E,1.2162e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,RDT.E,7.5e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,RDT.E,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,RDT.E,-1.35e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,RDT.E,1.1424e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,RDT.E,1.39e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,RDT.E,9.653e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,RDT.E,3e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,RDT.E,8.329e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,RDT.E,1.9e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,RDT.E,7.879e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,RDT.E,2.9e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,Military.Construction,8.344e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Military.Construction,1.868e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,Military.Construction,1.0407e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,Military.Construction,2.3e+08,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Military.Construction,-1.43e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Military.Construction,1.326e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,Military.Construction,8.36e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Military.Construction,1.167e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Military.Construction,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,Military.Construction,5.738e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Military.Construction,9.81e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,Military.Construction,4.107e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Military.Construction,-1.55e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,Military.Construction,2.757e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Military.Construction,-1.21e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Military.Construction,2.4e+07,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,Family....Housing,1.058e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,Family....Housing,1.296e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,Family....Housing,3.8e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,Family....Housing,6.84e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,Family....Housing,6.09e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,Family....Housing,6.7e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,Family....Housing,4.95e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2008,Base,Revolving.Funds...Other,5e+06,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Revolving.Funds...Other,1.319e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Base,Revolving.Funds...Other,1.02e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2009,Recovery Act,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Revolving.Funds...Other,4.43e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Base,Revolving.Funds...Other,3.8e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Revolving.Funds...Other,1.2e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2011,Base,Revolving.Funds...Other,0,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2012,Base,Revolving.Funds...Other,1.01e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Revolving.Funds...Other,5.4e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Base,Revolving.Funds...Other,1.03e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2014,Base,Military.Personnel,5.6336e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2014,Overseas Contingency Ops,Military.Personnel,5.632e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2014,Iron Dome,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Army,2015,Base,Military.Personnel,5.6169e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2015,Overseas Contingency Ops,Military.Personnel,3.302e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Army,2015,Ebola Relief,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Army,2016,Base,Military.Personnel,5.6156e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Army,2016,Overseas Contingency Ops,Military.Personnel,2.037e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
